Client_ID,Product_ID,Amount,Timestamp
2685,181,6,2023-11-03 15:15:00.339061
8414,96,6,2024-03-18 15:15:00.339068
876,156,5,2023-06-29 15:15:00.339071
1894,45,3,2023-07-18 15:15:00.339073
5018,72,3,2023-05-24 15:15:00.339075
9440,76,3,2023-07-31 15:15:00.339077
6044,143,6,2023-07-07 15:15:00.339080
4530,101,10,2023-08-03 15:15:00.339082
8190,70,10,2024-02-29 15:15:00.339084
1736,105,1,2023-11-02 15:15:00.339086
9180,94,5,2023-09-05 15:15:00.339088
4095,136,4,2023-06-16 15:15:00.339090
5299,21,10,2023-09-27 15:15:00.339093
5915,170,1,2024-02-20 15:15:00.339095
9079,141,4,2023-05-04 15:15:00.339097
3178,112,1,2023-11-04 15:15:00.339100
4013,74,6,2023-12-05 15:15:00.339102
9859,120,8,2023-10-02 15:15:00.339104
1460,184,9,2024-04-04 15:15:00.339106
569,199,7,2023-06-08 15:15:00.339108
8872,123,7,2023-07-10 15:15:00.339110
6458,101,9,2024-03-14 15:15:00.339113
2014,173,7,2023-07-06 15:15:00.339115
1876,29,1,2023-08-06 15:15:00.339117
1688,144,8,2024-01-29 15:15:00.339119
2160,105,5,2024-02-09 15:15:00.339121
5710,73,1,2024-02-27 15:15:00.339123
6177,115,4,2023-04-21 15:15:00.339125
2228,75,10,2023-10-30 15:15:00.339127
6566,40,9,2023-05-07 15:15:00.339129
6479,107,2,2024-03-14 15:15:00.339132
2151,102,8,2024-03-19 15:15:00.339134
8922,181,7,2024-04-02 15:15:00.339136
7693,8,5,2023-09-09 15:15:00.339138
873,35,9,2023-10-30 15:15:00.339140
5809,73,5,2023-08-26 15:15:00.339142
5698,196,7,2023-08-07 15:15:00.339144
8440,31,5,2023-06-10 15:15:00.339146
4624,88,9,2024-02-16 15:15:00.339149
8615,172,1,2024-03-01 15:15:00.339151
8088,195,9,2023-10-12 15:15:00.339153
3932,123,2,2023-11-07 15:15:00.339155
3743,39,5,2023-12-20 15:15:00.339157
6527,127,2,2023-06-26 15:15:00.339160
9792,141,5,2023-07-03 15:15:00.339163
7738,51,9,2023-12-19 15:15:00.339165
7264,116,5,2023-11-19 15:15:00.339168
5957,176,8,2023-09-26 15:15:00.339170
5756,110,10,2023-07-29 15:15:00.339172
3383,78,10,2024-02-12 15:15:00.339174
3938,88,5,2024-04-12 15:15:00.339176
2927,116,7,2023-11-28 15:15:00.339179
8280,176,3,2023-11-10 15:15:00.339181
2848,128,5,2023-12-08 15:15:00.339183
8059,68,7,2023-06-08 15:15:00.339185
3189,181,5,2024-04-01 15:15:00.339187
3137,156,3,2024-02-05 15:15:00.339189
7697,96,8,2023-11-21 15:15:00.339191
6031,23,10,2023-09-09 15:15:00.339194
2137,187,8,2023-04-22 15:15:00.339196
5207,152,3,2023-05-21 15:15:00.339198
166,60,3,2024-03-22 15:15:00.339200
4002,24,9,2023-07-14 15:15:00.339202
9957,43,9,2024-01-05 15:15:00.339205
7346,51,7,2023-12-22 15:15:00.339207
7961,21,10,2024-03-25 15:15:00.339209
5952,137,6,2024-03-31 15:15:00.339211
6095,160,7,2024-04-12 15:15:00.339213
5895,27,8,2023-11-21 15:15:00.339215
8217,133,10,2023-05-16 15:15:00.339218
6199,153,4,2023-10-15 15:15:00.339220
7756,98,3,2023-08-20 15:15:00.339222
3700,15,10,2024-02-29 15:15:00.339224
662,199,3,2023-06-25 15:15:00.339226
3973,63,7,2023-12-04 15:15:00.339228
1612,113,8,2023-04-29 15:15:00.339230
6114,119,6,2023-08-03 15:15:00.339232
5728,169,8,2023-05-18 15:15:00.339235
5395,146,9,2023-04-19 15:15:00.339237
8361,114,10,2023-06-05 15:15:00.339239
601,111,7,2024-03-22 15:15:00.339241
5272,93,6,2023-10-24 15:15:00.339245
2803,22,6,2023-08-24 15:15:00.339248
8915,88,8,2023-05-22 15:15:00.339250
198,39,8,2024-02-22 15:15:00.339252
9881,70,4,2023-06-23 15:15:00.339254
3445,160,5,2023-05-09 15:15:00.339256
6792,81,2,2023-12-24 15:15:00.339258
1553,6,7,2024-01-23 15:15:00.339260
3331,47,4,2023-11-03 15:15:00.339263
3701,157,1,2023-05-26 15:15:00.339265
3576,74,7,2023-10-10 15:15:00.339267
9920,32,7,2024-02-05 15:15:00.339269
2081,31,2,2023-04-19 15:15:00.339272
4358,111,7,2023-05-13 15:15:00.339274
7878,199,2,2023-07-13 15:15:00.339276
9635,176,8,2023-09-06 15:15:00.339278
7007,139,10,2023-09-18 15:15:00.339280
5676,25,3,2024-01-28 15:15:00.339283
7464,24,8,2024-03-27 15:15:00.339285
3535,77,9,2024-02-28 15:15:00.339287
5152,102,9,2024-01-18 15:15:00.339289
1062,30,8,2023-05-05 15:15:00.339291
8690,122,4,2023-08-13 15:15:00.339293
8759,38,2,2023-08-16 15:15:00.339296
7808,171,9,2024-04-04 15:15:00.339298
9470,61,6,2023-07-17 15:15:00.339300
5982,28,6,2023-05-31 15:15:00.339302
7665,21,6,2023-07-21 15:15:00.339304
1896,170,8,2023-06-15 15:15:00.339307
8122,148,10,2023-08-06 15:15:00.339309
7229,116,3,2023-06-02 15:15:00.339311
4967,100,10,2023-12-21 15:15:00.339313
4167,139,5,2023-10-31 15:15:00.339315
8398,102,2,2024-02-26 15:15:00.339318
5075,186,5,2023-07-13 15:15:00.339320
8700,53,10,2023-10-01 15:15:00.339322
3515,94,4,2024-03-28 15:15:00.339324
3752,93,8,2024-01-29 15:15:00.339326
7612,2,2,2023-08-20 15:15:00.339328
1271,33,3,2023-05-12 15:15:00.339331
8538,157,3,2024-03-28 15:15:00.339333
735,53,10,2024-01-09 15:15:00.339335
3038,200,10,2024-03-10 15:15:00.339337
4313,115,3,2023-08-26 15:15:00.339339
8795,193,10,2023-12-09 15:15:00.339341
1721,119,10,2024-01-07 15:15:00.339344
4503,115,3,2023-10-27 15:15:00.339346
7395,86,8,2023-06-22 15:15:00.339348
6341,114,4,2023-07-27 15:15:00.339350
7076,107,8,2023-04-29 15:15:00.339352
9675,19,7,2023-04-24 15:15:00.339355
5975,148,8,2023-06-28 15:15:00.339357
9811,138,8,2023-07-02 15:15:00.339359
4897,47,9,2023-04-22 15:15:00.339361
9711,36,3,2024-01-03 15:15:00.339363
5194,179,1,2023-07-02 15:15:00.339366
8170,199,10,2023-12-16 15:15:00.339368
4218,110,1,2024-04-08 15:15:00.339370
3722,177,3,2024-03-16 15:15:00.339372
887,44,4,2023-06-29 15:15:00.339374
7166,186,10,2023-05-06 15:15:00.339376
1848,57,8,2023-07-07 15:15:00.339378
7916,113,10,2023-10-14 15:15:00.339381
7992,53,8,2023-08-03 15:15:00.339383
6313,137,2,2024-02-01 15:15:00.339385
678,149,7,2023-11-28 15:15:00.339387
4662,100,1,2024-01-16 15:15:00.339389
5547,55,10,2023-08-21 15:15:00.339391
9600,162,8,2023-08-13 15:15:00.339394
1057,104,3,2023-06-03 15:15:00.339396
6172,166,3,2024-03-26 15:15:00.339398
5400,38,8,2023-06-08 15:15:00.339400
